PLZ_ID,pdb_id,structure_source,structure_method,resolution,source_file_path
28e0c597d2,7ECB,RCSB_PDB,X-RAY DIFFRACTION,1.83 Å,pdb/7ECB.pdb
91351ca686,6JTT,RCSB_PDB,X-RAY DIFFRACTION,2.51 Å,pdb/6JTT.pdb
222a0eb1a0,7EOA,RCSB_PDB,X-RAY DIFFRACTION,1.24 Å,pdb/7EOA.pdb
0e5551e3cc,4WFI,RCSB_PDB,X-RAY DIFFRACTION,1.446 Å,pdb/4WFI.pdb
91158a9f29,7NEI,RCSB_PDB,X-RAY DIFFRACTION,1.3 Å,pdb/7NEI.pdb
91158a9f29,7NEI,RCSB_PDB,X-RAY DIFFRACTION,1.3 Å,pdb/7NEI.pdb
91158a9f29,7CUV,RCSB_PDB,X-RAY DIFFRACTION,1.45 Å,pdb/7CUV.pdb
91158a9f29,7NEI,RCSB_PDB,X-RAY DIFFRACTION,1.3 Å,pdb/7NEI.pdb
91158a9f29,7W69,RCSB_PDB,X-RAY DIFFRACTION,1.56 Å,pdb/7W69.pdb
fc7a9b40c6,4WFK,RCSB_PDB,X-RAY DIFFRACTION,2.35 Å,pdb/4WFK.pdb
cad79d6541,7PZJ,RCSB_PDB,X-RAY DIFFRACTION,2.1 Å,pdb/7PZJ.pdb
ee302712eb,7YKO,RCSB_PDB,X-RAY DIFFRACTION,1.15 Å,pdb/7YKO.pdb
6c598a08cc,7QJO,RCSB_PDB,X-RAY DIFFRACTION,1.933 Å,pdb/7QJO.pdb
1673038e62,6AID,RCSB_PDB,X-RAY DIFFRACTION,1.3 Å,pdb/6AID.pdb
aef0b24815,7QJM,RCSB_PDB,X-RAY DIFFRACTION,2.19 Å,pdb/7QJM.pdb
aef0b24815,7QJM,RCSB_PDB,X-RAY DIFFRACTION,2.19 Å,pdb/7QJM.pdb
03e0eb2320,4OYY,RCSB_PDB,X-RAY DIFFRACTION,3.0 Å,pdb/4OYY.pdb
03e0eb2320,4OYL,RCSB_PDB,X-RAY DIFFRACTION,2.05 Å,pdb/4OYL.pdb
3251320be6,2D81,RCSB_PDB,X-RAY DIFFRACTION,1.66 Å,pdb/2D81.pdb
454f96425d,4BTV,RCSB_PDB,X-RAY DIFFRACTION,1.594 Å,pdb/4BTV.pdb
996508e56e,2D80,RCSB_PDB,X-RAY DIFFRACTION,1.7 Å,pdb/2D80.pdb
b976d89166,5D8M,RCSB_PDB,X-RAY DIFFRACTION,1.95 Å,pdb/5D8M.pdb
208d6ef2c0,5LUJ,RCSB_PDB,X-RAY DIFFRACTION,2.2 Å,pdb/5LUJ.pdb
63bef039bc,5LUI,RCSB_PDB,X-RAY DIFFRACTION,1.5 Å,pdb/5LUI.pdb
bec89b1c7b,7CY3,RCSB_PDB,X-RAY DIFFRACTION,1.27 Å,pdb/7CY3.pdb
41cce49ced,2CZQ,RCSB_PDB,X-RAY DIFFRACTION,1.05 Å,pdb/2CZQ.pdb
360413121e,1CSE,RCSB_PDB,X-RAY DIFFRACTION,1.2 Å,pdb/1CSE.pdb
94e8157fc2,7CC4,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/7CC4.pdb
cceac56d17,8C4X,RCSB_PDB,X-RAY DIFFRACTION,1.52 Å,pdb/8C4X.pdb
0ceccec9cc,4PSU,RCSB_PDB,X-RAY DIFFRACTION,2.2 Å,pdb/4PSU.pdb
a92dae508e,3VIS,RCSB_PDB,X-RAY DIFFRACTION,1.76 Å,pdb/3VIS.pdb
f6a0e986e5,4CG1,RCSB_PDB,X-RAY DIFFRACTION,1.4 Å,pdb/4CG1.pdb
076eb0f3c5,1CRL,RCSB_PDB,X-RAY DIFFRACTION,2.06 Å,pdb/1CRL.pdb
3ec22ba0a0,1TCA,RCSB_PDB,X-RAY DIFFRACTION,1.55 Å,pdb/1TCA.pdb
c2af84ff2d,8WV2,RCSB_PDB,X-RAY DIFFRACTION,2.66 Å,pdb/8WV2.pdb
42b95295f2,7YKO,RCSB_PDB,X-RAY DIFFRACTION,1.15 Å,pdb/7YKO.pdb
a74243e772,3WLA,RCSB_PDB,X-RAY DIFFRACTION,1.9 Å,pdb/3WLA.pdb
1937e85c8a,3WL5,RCSB_PDB,X-RAY DIFFRACTION,1.6 Å,pdb/3WL5.pdb
0f91408247,7Q04,RCSB_PDB,X-RAY DIFFRACTION,2.281 Å,pdb/7Q04.pdb
5ba8e169db,7Q04,RCSB_PDB,X-RAY DIFFRACTION,2.281 Å,pdb/7Q04.pdb
d6d22e6e3e,2PIA,RCSB_PDB,X-RAY DIFFRACTION,2.0 Å,pdb/2PIA.pdb
